Month,Job Title,Growth Percentage,Average Salary,Openings
April,Full Stack Developer,+46.32% Growth,"$118,371",4986+ openings
July,UX/UI Designer,+9.36% Growth,"$78,193",2492+ openings
June,AI Engineer,+21.71% Growth,"$109,246",2351+ openings
April,Full Stack Developer,+43.04% Growth,"$91,206",3551+ openings
September,Full Stack Developer,+30.4% Growth,"$96,732",1499+ openings
December,DevOps Engineer,+26.78% Growth,"$144,040",770+ openings
November,Cybersecurity Analyst,+41.52% Growth,"$109,891",4386+ openings
January,Data Scientist,+13.33% Growth,"$138,560",2547+ openings
February,Software Engineer,+17.17% Growth,"$145,304",1827+ openings
June,Business Analyst,+5.58% Growth,"$145,585",1707+ openings
July,Business Analyst,+36.09% Growth,"$149,074",1999+ openings
February,Business Analyst,+28.24% Growth,"$102,831",2093+ openings
August,Full Stack Developer,+23.95% Growth,"$83,646",541+ openings
January,Data Scientist,+32.29% Growth,"$139,529",1769+ openings
November,Data Scientist,+33.59% Growth,"$78,566",2722+ openings
January,Business Analyst,+17.24% Growth,"$128,984",2647+ openings
April,Product Manager,+8.83% Growth,"$98,627",1256+ openings
August,Business Analyst,+46.15% Growth,"$114,912",3612+ openings
July,UX/UI Designer,+40.99% Growth,"$131,102",1268+ openings
September,UX/UI Designer,+6.73% Growth,"$144,618",4539+ openings
September,Data Scientist,+29.34% Growth,"$140,340",576+ openings
October,UX/UI Designer,+49.33% Growth,"$131,768",1397+ openings
February,UX/UI Designer,+32.85% Growth,"$143,104",1210+ openings
May,AI Engineer,+8.69% Growth,"$110,777",1653+ openings
July,Full Stack Developer,+10.5% Growth,"$86,590",4669+ openings
November,UX/UI Designer,+29.44% Growth,"$115,810",2768+ openings
January,UX/UI Designer,+24.7% Growth,"$82,260",3840+ openings
May,Product Manager,+32.34% Growth,"$136,595",4045+ openings
July,Data Scientist,+33.9% Growth,"$85,546",3950+ openings
November,DevOps Engineer,+27.01% Growth,"$99,913",3835+ openings
March,UX/UI Designer,+32.04% Growth,"$146,622",923+ openings
August,Business Analyst,+32.07% Growth,"$130,666",3861+ openings
November,Cybersecurity Analyst,+48.95% Growth,"$107,975",1273+ openings
February,Business Analyst,+35.16% Growth,"$131,392",3926+ openings
March,DevOps Engineer,+8.42% Growth,"$123,694",4686+ openings
June,Software Engineer,+49.61% Growth,"$145,861",617+ openings
February,DevOps Engineer,+7.56% Growth,"$73,323",694+ openings
June,DevOps Engineer,+40.26% Growth,"$132,524",3773+ openings
March,DevOps Engineer,+6.62% Growth,"$106,340",1432+ openings
April,Cloud Engineer,+20.92% Growth,"$145,331",1117+ openings
June,Product Manager,+20.53% Growth,"$147,317",2915+ openings
October,Product Manager,+15.44% Growth,"$101,346",4375+ openings
May,AI Engineer,+17.0% Growth,"$92,354",2683+ openings
October,UX/UI Designer,+41.15% Growth,"$70,772",3159+ openings
August,Business Analyst,+38.11% Growth,"$90,403",3820+ openings
April,Cybersecurity Analyst,+31.66% Growth,"$88,178",1534+ openings
October,Full Stack Developer,+6.26% Growth,"$128,250",2592+ openings
May,Full Stack Developer,+33.36% Growth,"$104,499",4758+ openings
March,Full Stack Developer,+27.88% Growth,"$121,618",1235+ openings
September,AI Engineer,+44.91% Growth,"$85,414",1779+ openings
May,Software Engineer,+41.17% Growth,"$118,198",3881+ openings
April,Product Manager,+12.41% Growth,"$126,880",3205+ openings
February,AI Engineer,+40.46% Growth,"$109,742",1184+ openings
August,Software Engineer,+45.5% Growth,"$135,921",1635+ openings
April,AI Engineer,+35.47% Growth,"$71,164",2589+ openings
May,Cybersecurity Analyst,+20.69% Growth,"$73,712",841+ openings
March,AI Engineer,+18.17% Growth,"$95,864",3386+ openings
September,Data Scientist,+33.09% Growth,"$117,268",3276+ openings
May,DevOps Engineer,+31.15% Growth,"$119,838",2726+ openings
December,Data Scientist,+6.02% Growth,"$104,913",2682+ openings
August,Software Engineer,+49.85% Growth,"$81,649",2246+ openings
November,Full Stack Developer,+38.56% Growth,"$98,654",3940+ openings
January,Full Stack Developer,+44.29% Growth,"$94,424",2713+ openings
January,AI Engineer,+44.66% Growth,"$88,112",2577+ openings
July,Cloud Engineer,+31.67% Growth,"$100,446",4610+ openings
February,Data Scientist,+39.69% Growth,"$88,171",3362+ openings
September,DevOps Engineer,+36.14% Growth,"$79,182",4189+ openings
September,Cybersecurity Analyst,+49.24% Growth,"$126,673",3416+ openings
February,Data Scientist,+20.27% Growth,"$76,332",2985+ openings
October,UX/UI Designer,+25.93% Growth,"$94,149",1724+ openings
July,Full Stack Developer,+11.49% Growth,"$87,230",2600+ openings
September,UX/UI Designer,+39.1% Growth,"$148,441",1534+ openings
January,Data Scientist,+14.05% Growth,"$128,976",743+ openings
January,AI Engineer,+18.82% Growth,"$136,143",3715+ openings
November,Data Scientist,+31.19% Growth,"$102,748",4102+ openings
November,Cybersecurity Analyst,+19.89% Growth,"$91,792",1127+ openings
March,Business Analyst,+34.82% Growth,"$90,932",1968+ openings
December,Software Engineer,+34.11% Growth,"$103,739",918+ openings
June,Full Stack Developer,+21.02% Growth,"$111,120",804+ openings
November,Business Analyst,+14.62% Growth,"$124,567",2107+ openings
April,AI Engineer,+18.92% Growth,"$108,718",4871+ openings
October,UX/UI Designer,+46.39% Growth,"$125,532",944+ openings
October,Product Manager,+19.0% Growth,"$70,560",3702+ openings
March,AI Engineer,+22.99% Growth,"$72,517",2238+ openings
August,Data Scientist,+28.62% Growth,"$110,314",2653+ openings
April,Full Stack Developer,+33.8% Growth,"$77,988",2039+ openings
May,AI Engineer,+15.37% Growth,"$130,802",2189+ openings
June,AI Engineer,+5.29% Growth,"$139,086",553+ openings
February,Cloud Engineer,+33.8% Growth,"$129,197",2774+ openings
May,AI Engineer,+33.19% Growth,"$91,448",2094+ openings
July,UX/UI Designer,+28.09% Growth,"$144,153",3409+ openings
February,Full Stack Developer,+20.91% Growth,"$78,167",4631+ openings
October,Data Scientist,+11.76% Growth,"$103,223",3590+ openings
March,DevOps Engineer,+48.69% Growth,"$114,879",1540+ openings
February,DevOps Engineer,+28.87% Growth,"$108,855",3173+ openings
April,Business Analyst,+14.83% Growth,"$70,737",2262+ openings
March,UX/UI Designer,+36.47% Growth,"$98,658",3118+ openings
December,UX/UI Designer,+25.61% Growth,"$97,910",2088+ openings
July,Software Engineer,+31.92% Growth,"$109,558",1102+ openings
November,Cloud Engineer,+7.17% Growth,"$71,234",4943+ openings
July,Full Stack Developer,+11.21% Growth,"$144,590",3269+ openings
January,Cloud Engineer,+25.61% Growth,"$108,855",1696+ openings
November,Business Analyst,+6.11% Growth,"$128,167",1347+ openings
May,Software Engineer,+35.34% Growth,"$80,503",2953+ openings
October,Full Stack Developer,+10.21% Growth,"$102,258",3827+ openings
March,AI Engineer,+12.32% Growth,"$142,213",3024+ openings
March,Business Analyst,+24.31% Growth,"$112,883",1773+ openings
May,Data Scientist,+32.2% Growth,"$140,437",2882+ openings
April,Full Stack Developer,+42.73% Growth,"$147,675",3705+ openings
July,DevOps Engineer,+40.56% Growth,"$89,333",3605+ openings
May,UX/UI Designer,+34.19% Growth,"$96,533",3554+ openings
June,AI Engineer,+44.99% Growth,"$79,189",2182+ openings
October,Product Manager,+42.9% Growth,"$145,200",3640+ openings
July,Cybersecurity Analyst,+16.63% Growth,"$70,764",4945+ openings
July,DevOps Engineer,+44.63% Growth,"$98,432",2284+ openings
November,Data Scientist,+34.14% Growth,"$101,598",3908+ openings
April,UX/UI Designer,+25.45% Growth,"$106,991",3431+ openings
July,UX/UI Designer,+20.04% Growth,"$80,630",4117+ openings
May,Cloud Engineer,+20.57% Growth,"$80,054",4879+ openings
June,Full Stack Developer,+45.14% Growth,"$116,627",1984+ openings
April,Cloud Engineer,+5.05% Growth,"$115,054",4480+ openings
March,Cybersecurity Analyst,+46.17% Growth,"$144,646",1152+ openings
January,Product Manager,+19.31% Growth,"$85,542",2524+ openings
September,Data Scientist,+43.08% Growth,"$149,193",2750+ openings
September,UX/UI Designer,+23.85% Growth,"$102,177",3567+ openings
April,UX/UI Designer,+13.94% Growth,"$141,239",2333+ openings
May,AI Engineer,+19.5% Growth,"$144,642",3162+ openings
February,Full Stack Developer,+9.1% Growth,"$71,051",4957+ openings
August,AI Engineer,+31.91% Growth,"$90,436",2335+ openings
January,Full Stack Developer,+40.37% Growth,"$105,979",4709+ openings
December,Full Stack Developer,+22.73% Growth,"$108,210",4190+ openings
July,AI Engineer,+10.94% Growth,"$120,879",3457+ openings
October,Product Manager,+45.74% Growth,"$70,272",3707+ openings
April,UX/UI Designer,+32.35% Growth,"$105,037",674+ openings
February,Cybersecurity Analyst,+35.41% Growth,"$120,423",3261+ openings
April,Business Analyst,+35.69% Growth,"$116,712",2750+ openings
December,Cybersecurity Analyst,+12.46% Growth,"$130,659",1965+ openings
September,DevOps Engineer,+43.86% Growth,"$75,671",541+ openings
March,DevOps Engineer,+47.7% Growth,"$127,363",2237+ openings
February,UX/UI Designer,+48.98% Growth,"$104,108",3388+ openings
May,UX/UI Designer,+23.15% Growth,"$115,992",547+ openings
May,Business Analyst,+18.63% Growth,"$75,995",4366+ openings
September,Product Manager,+13.32% Growth,"$86,259",4456+ openings
May,Cybersecurity Analyst,+10.31% Growth,"$91,193",3633+ openings
March,Business Analyst,+17.69% Growth,"$88,039",3960+ openings
May,DevOps Engineer,+26.06% Growth,"$106,715",2804+ openings
November,Business Analyst,+11.48% Growth,"$90,581",3970+ openings
July,DevOps Engineer,+19.57% Growth,"$121,247",4943+ openings
February,AI Engineer,+26.16% Growth,"$122,839",4215+ openings
January,UX/UI Designer,+39.9% Growth,"$89,779",2943+ openings
January,Data Scientist,+9.56% Growth,"$124,410",721+ openings
November,AI Engineer,+26.51% Growth,"$135,663",4297+ openings
February,UX/UI Designer,+37.03% Growth,"$116,868",1537+ openings
June,DevOps Engineer,+17.36% Growth,"$75,120",1400+ openings
August,Product Manager,+8.33% Growth,"$119,557",1424+ openings
July,Business Analyst,+27.95% Growth,"$75,379",1275+ openings
October,DevOps Engineer,+19.57% Growth,"$140,557",1620+ openings
February,Software Engineer,+47.43% Growth,"$77,435",2856+ openings
December,Cybersecurity Analyst,+44.95% Growth,"$111,872",2260+ openings
August,AI Engineer,+8.3% Growth,"$113,461",1985+ openings
February,Product Manager,+38.03% Growth,"$110,085",3967+ openings
May,Business Analyst,+42.76% Growth,"$135,140",3794+ openings
December,AI Engineer,+17.87% Growth,"$117,125",1803+ openings
September,Data Scientist,+46.71% Growth,"$89,495",942+ openings
May,Full Stack Developer,+22.33% Growth,"$132,634",983+ openings
August,Cybersecurity Analyst,+11.49% Growth,"$77,317",3358+ openings
October,DevOps Engineer,+33.1% Growth,"$108,049",4110+ openings
September,DevOps Engineer,+22.93% Growth,"$148,998",3080+ openings
July,AI Engineer,+17.66% Growth,"$91,336",1471+ openings
October,Cloud Engineer,+38.74% Growth,"$96,817",3364+ openings
June,AI Engineer,+19.0% Growth,"$106,026",3218+ openings
February,AI Engineer,+48.62% Growth,"$94,996",2568+ openings
November,Cybersecurity Analyst,+15.12% Growth,"$141,501",4676+ openings
November,AI Engineer,+10.94% Growth,"$82,284",4681+ openings
January,Software Engineer,+6.19% Growth,"$120,435",3050+ openings
May,DevOps Engineer,+44.03% Growth,"$94,918",1738+ openings
August,Cloud Engineer,+5.32% Growth,"$111,933",2274+ openings
January,Software Engineer,+28.66% Growth,"$142,367",520+ openings
May,AI Engineer,+37.75% Growth,"$88,844",3178+ openings
October,Cybersecurity Analyst,+21.02% Growth,"$87,487",3122+ openings
October,AI Engineer,+9.63% Growth,"$91,844",1307+ openings
May,DevOps Engineer,+37.7% Growth,"$121,412",2112+ openings
July,Product Manager,+18.27% Growth,"$126,664",1921+ openings
February,Full Stack Developer,+9.06% Growth,"$79,281",1113+ openings
April,Full Stack Developer,+11.63% Growth,"$91,839",1647+ openings
December,Full Stack Developer,+23.73% Growth,"$142,991",2637+ openings
January,Business Analyst,+14.1% Growth,"$149,069",1137+ openings
November,Cybersecurity Analyst,+11.19% Growth,"$106,439",758+ openings
September,DevOps Engineer,+14.76% Growth,"$92,210",2904+ openings
March,UX/UI Designer,+44.38% Growth,"$71,286",4062+ openings
October,UX/UI Designer,+39.91% Growth,"$109,716",3532+ openings
February,Business Analyst,+38.19% Growth,"$90,303",4019+ openings
February,Product Manager,+23.3% Growth,"$147,410",3702+ openings
November,DevOps Engineer,+47.42% Growth,"$88,007",4728+ openings
April,Product Manager,+34.29% Growth,"$87,195",966+ openings
November,Cloud Engineer,+13.19% Growth,"$119,327",2828+ openings
April,Product Manager,+23.04% Growth,"$95,271",1811+ openings
May,Data Scientist,+40.24% Growth,"$121,036",1066+ openings
January,Cloud Engineer,+39.56% Growth,"$84,467",4230+ openings
April,AI Engineer,+36.61% Growth,"$141,098",1891+ openings
January,Data Scientist,+33.25% Growth,"$102,212",4400+ openings
September,Software Engineer,+49.17% Growth,"$83,177",4384+ openings
August,UX/UI Designer,+47.45% Growth,"$76,620",906+ openings
October,UX/UI Designer,+37.74% Growth,"$109,250",4619+ openings
May,Cloud Engineer,+16.86% Growth,"$87,757",1848+ openings
February,Product Manager,+6.28% Growth,"$87,454",3725+ openings
August,Cloud Engineer,+40.72% Growth,"$85,685",4105+ openings
November,UX/UI Designer,+9.95% Growth,"$73,717",827+ openings
August,Data Scientist,+35.72% Growth,"$93,120",3651+ openings
January,Business Analyst,+10.65% Growth,"$119,018",4579+ openings
December,AI Engineer,+16.79% Growth,"$144,230",3780+ openings
October,Cloud Engineer,+48.2% Growth,"$140,088",4006+ openings
April,Cloud Engineer,+20.13% Growth,"$137,298",2516+ openings
April,AI Engineer,+9.6% Growth,"$111,184",3319+ openings
October,Business Analyst,+26.5% Growth,"$139,185",787+ openings
February,Cybersecurity Analyst,+21.07% Growth,"$70,041",3788+ openings
March,DevOps Engineer,+5.64% Growth,"$107,514",1643+ openings
December,Cloud Engineer,+28.91% Growth,"$74,547",3579+ openings
May,Business Analyst,+45.3% Growth,"$89,472",4547+ openings
April,UX/UI Designer,+22.34% Growth,"$149,587",4287+ openings
January,Full Stack Developer,+14.92% Growth,"$125,208",4445+ openings
January,Full Stack Developer,+49.83% Growth,"$133,804",4313+ openings
December,Cloud Engineer,+40.28% Growth,"$118,364",1114+ openings
May,Business Analyst,+37.34% Growth,"$143,840",3318+ openings
January,AI Engineer,+41.97% Growth,"$112,490",708+ openings
February,Product Manager,+35.01% Growth,"$83,288",4703+ openings
June,DevOps Engineer,+45.66% Growth,"$139,006",4610+ openings
November,UX/UI Designer,+35.69% Growth,"$91,981",1617+ openings
July,Software Engineer,+24.63% Growth,"$104,314",3521+ openings
November,AI Engineer,+16.88% Growth,"$130,921",2388+ openings
August,Software Engineer,+13.93% Growth,"$110,672",3603+ openings
July,Data Scientist,+24.72% Growth,"$127,168",4641+ openings
June,Full Stack Developer,+23.45% Growth,"$148,781",2548+ openings
December,Full Stack Developer,+35.61% Growth,"$109,134",4167+ openings
April,Business Analyst,+27.88% Growth,"$129,375",3341+ openings
January,Product Manager,+38.17% Growth,"$89,269",3283+ openings
July,Software Engineer,+38.04% Growth,"$125,471",2616+ openings
October,Full Stack Developer,+29.55% Growth,"$74,061",4453+ openings
March,Cybersecurity Analyst,+17.82% Growth,"$76,720",2567+ openings
June,Cloud Engineer,+43.5% Growth,"$72,273",4297+ openings
July,Full Stack Developer,+30.33% Growth,"$123,621",3333+ openings
January,Cloud Engineer,+17.1% Growth,"$95,526",3607+ openings
August,Full Stack Developer,+28.3% Growth,"$144,395",4494+ openings
December,Business Analyst,+20.46% Growth,"$72,273",2820+ openings
November,Product Manager,+41.53% Growth,"$87,147",3274+ openings
May,Cybersecurity Analyst,+18.46% Growth,"$101,638",712+ openings
September,Cloud Engineer,+47.55% Growth,"$77,357",3175+ openings
April,AI Engineer,+20.14% Growth,"$76,377",1135+ openings
May,AI Engineer,+26.26% Growth,"$111,569",1122+ openings
April,Software Engineer,+32.68% Growth,"$108,480",2929+ openings
June,AI Engineer,+30.75% Growth,"$128,343",3042+ openings
August,Cybersecurity Analyst,+47.93% Growth,"$143,611",3718+ openings
October,AI Engineer,+21.97% Growth,"$146,731",3260+ openings
June,UX/UI Designer,+12.05% Growth,"$130,400",1240+ openings
January,UX/UI Designer,+6.01% Growth,"$103,593",1742+ openings
August,Full Stack Developer,+43.22% Growth,"$145,498",1144+ openings
March,DevOps Engineer,+24.21% Growth,"$108,285",4511+ openings
August,Full Stack Developer,+40.94% Growth,"$76,882",3915+ openings
April,Software Engineer,+5.49% Growth,"$80,219",4859+ openings
January,Data Scientist,+48.66% Growth,"$113,682",1329+ openings
December,Cybersecurity Analyst,+37.74% Growth,"$149,645",2725+ openings
November,UX/UI Designer,+6.66% Growth,"$108,999",4783+ openings
July,Business Analyst,+22.06% Growth,"$143,264",1023+ openings
July,Software Engineer,+5.54% Growth,"$137,082",3708+ openings
July,DevOps Engineer,+20.34% Growth,"$71,690",1773+ openings
January,Cybersecurity Analyst,+27.84% Growth,"$113,982",2965+ openings
April,Software Engineer,+23.95% Growth,"$122,626",3433+ openings
April,Data Scientist,+35.91% Growth,"$81,058",2156+ openings
September,Full Stack Developer,+5.11% Growth,"$114,526",4688+ openings
July,UX/UI Designer,+30.42% Growth,"$139,580",2377+ openings
